cxcfile-hobbit24hour,image name-24hour,cellnum24hour,slice24hour,sumhobbit24hour,maxhobbit24hour,sumdilatedhobbit24hour,maxdilatedhobbit24hour,area24hour,sumlinc24hour,maxlinc24hour,sumdilatedlinc24hour,maxdilatedlinc24hour,url24hour
1,24hour-1.png,1,22,565651.1,6121.117,883457.06,6121.117,114.66,2519610.8,13134.624,3063548.2,13134.624,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-1.png
1,24hour-1.png,2,21,1512372.5,5518.948,1964508.8,5518.948,191.433,3592094,9278.476,4362295,9278.476,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-1.png
1,24hour-1.png,3,19,1948085.1,27721.016,2429995.5,27721.016,130.536,3285738,22278.223,3972775.8,22278.223,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-1.png
1,24hour-1.png,4,15,986104.56,7231.3154,1447580.6,7231.3154,128.458,1184355.8,7188.926,1804225.9,7188.926,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-1.png
1,24hour-1.png,5,7,467580,4667.7837,686163,4667.7837,186.788,1807790.9,3473.345,2227914.2,3473.345,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-1.png
1,24hour-1.png,6,5,285605,2900.7158,347123.03,2900.7158,141.982,2289148.2,10485.213,2670777,10485.213,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-1.png
1,24hour-1.png,7,20,2912677.5,11637.08,3661610.8,11637.08,149.666,3467520.5,9437.501,4380150.5,9437.501,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-1.png
1,24hour-1.png,8,20,507339.03,10984.075,543503.1,10984.075,100.411,287959.6,2604.3071,323230.44,2604.3071,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-1.png
1,24hour-1.png,9,15,1256246.8,8694.79,1447737.1,8694.79,102.469,1991429.4,9586.714,2396800.2,9586.714,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-1.png
1,24hour-1.png,10,14,200626.53,4611.9663,325103.53,4611.9663,94.786,1079641.5,6331.976,1242457,6331.976,http://bioinfo/n/projects/jjl/public/zainab%20afzal/1-26-2017/processed/images-spotfire/24hour-1.png
